t,x,y,dxdt,dydt
0.0,0.0,0.0,0.0,0.0
2.0,5.553730289673374e-09,4.719442789673374e-09,5.553730289673374e-09,4.719442789673374e-09
4.0,2.2210375154631237e-08,1.888248312574884e-08,1.1102914575284488e-08,9.443597546402092e-09
6.0,4.996083833933265e-08,4.24985407264184e-08,1.6647548609416928e-08,1.417246005426747e-08
8.0,8.879601509698752e-08,7.557702687442507e-08,2.218762814823794e-08,1.890602609373919e-08
10.0,1.3870679219672638e-07,1.1812734440984193e-07,2.7723148951500932e-08,2.364429144167768e-08
12.0,1.9968404793077527e-07,1.7015888772285614e-07,3.325410678254797e-08,2.8387251871336525e-08
14.0,2.717186521216355e-07,2.3168104274655752e-07,3.878049740831227e-08,3.313490315236486e-08
16.0,3.548014661292685e-07,3.027031869497322e-07,4.4302316599320726e-08,3.788724105080978e-08
18.0,4.489233428582856e-07,3.832346893296607e-07,4.981956012969638e-08,4.264426132911874e-08
20.0,5.540751267651429e-07,4.7328491040492144e-07,5.533222377716091e-08,4.740595974614196e-08
22.0,6.70247653865341e-07,5.728632022081982e-07,6.084030332303717e-08,5.2172332057134806e-08
24.0,7.974317517406298e-07,6.819789082790933e-07,6.634379455225166e-08,5.694337401376024e-08
26.0,9.356182395462185e-07,8.006413636569447e-07,7.184269325333701e-08,6.171908136409116e-08
28.0,1.08479792801799e-06,9.288598948736487e-07,7.73369952184345e-08,6.649944985261288e-08
30.0,1.244961619479721e-06,1.066643819946487e-06,8.282669624329657e-08,7.128447522022546e-08
32.0,1.4161001078503069e-06,1.2140024483709586e-06,8.831179212728928e-08,7.607415320424619e-08
34.0,1.598204178650991e-06,1.3709450811136168e-06,9.379227867339483e-08,8.08684795384119e-08
36.0,1.7912646090125998e-06,1.53748101060491e-06,9.926815168821406e-08,8.566744995288148e-08
38.0,1.995272167682783e-06,1.7136195207320297e-06,1.0473940698196891e-07,9.047106017423818e-08
40.0,2.2102176150332567e-06,1.8993698868317599e-06,1.1020604036850497e-07,9.52793059254921e-08
42.0,2.4360917030670557e-06,2.0947413756833344e-06,1.1566804766529393e-07,1.0009218292608255e-07
44.0,2.6728851754257856e-06,2.2997432455012972e-06,1.2112542469343612e-07,1.049096868918805e-07
46.0,2.9205887673968845e-06,2.5143847459283685e-06,1.2657816727766294e-07,1.0973181353519094e-07
48.0,3.179193205920887e-06,2.738675118028315e-06,1.3202627124633944e-07,1.1455855856475532e-07
50.0,3.448689209598693e-06,2.972623594278824e-06,1.374697324314667e-07,1.1938991768575399e-07
52.0,3.729067488698844e-06,3.2162393985643867e-06,1.429085466686845e-07,1.2422588659980851e-07
54.0,4.020318745164802e-06,3.4695317461691793e-06,1.4834270979727357e-07,1.2906646100498424e-07
56.0,4.322433672622234e-06,3.732509843769956e-06,1.5377221766015832e-07,1.3391163659579254e-07
58.0,4.635402956386302e-06,4.005182889428942e-06,1.591970661039092e-07,1.3876140906319335e-07
60.0,4.959217273468957e-06,4.287560072586733e-06,1.6461725097874528e-07,1.4361577409459752e-07
62.0,5.293867292586239e-06,4.5796505740552e-06,1.700327681385366e-07,1.4847472737386928e-07
64.0,5.6393436741655824e-06,4.881463566010398e-06,1.7544361344080682e-07,1.5333826458132858e-07
66.0,5.9956370703531245e-06,5.19300821198548e-06,1.808497827467356e-07,1.5820638139375358e-07
68.0,6.362738125021021e-06,5.5142936668636166e-06,1.8625127192116122e-07,1.6307907348438302e-07
70.0,6.740637473774765e-06,5.845329076870918e-06,1.9164807683258292e-07,1.679563365229187e-07
72.0,7.129325743960511e-06,6.1861235795693646e-06,1.9704019335316346e-07,1.728381661755278e-07
74.0,7.528793554672406e-06,6.536686303849738e-06,2.024276173587317e-07,1.7772455810484536e-07
76.0,7.939031516759923e-06,6.89702636992456e-06,2.078103447287849e-07,1.8261550796997675e-07
78.0,8.3600302328352e-06,7.267152889321037e-06,2.1318837134649144e-07,1.8751101142649994e-07
80.0,8.791780297280385e-06,7.647074964874004e-06,2.185616930986931e-07,1.924110641264681e-07
82.0,9.234272296254985e-06,8.036801690718885e-06,2.2393030587590768e-07,1.9731566171841185e-07
84.0,9.687496807703224e-06,8.436342152284639e-06,2.2929420557233144e-07,2.0222479984734183e-07
86.0,1.0151444401361398e-05,8.845705426286732e-06,2.3465338808584166e-07,2.0713847415475108e-07
88.0,1.0626105638765238e-05,9.2649005807201e-06,2.40007849317999e-07,2.1205668027861736e-07
90.0,1.1111471073257287e-05,9.693936674852122e-06,2.453575851740501e-07,2.1697941385340572e-07
92.0,1.1607531249994268e-05,1.01328227592156e-05,2.507025915629301e-07,2.2190667051007082e-07
94.0,1.2114276705954463e-05,1.0581567875601729e-05,2.5604286439726504e-07,2.2683844587605945e-07
96.0,1.2631697969945102e-05,1.1040181057053101e-05,2.613783995933743e-07,2.3177473557531287e-07
98.0,1.3159785562609749e-05,1.1508671327856684e-05,2.6670919307127324e-07,2.3671553522826923e-07
100.0,1.3698529996435699e-05,1.1987047703536819e-05,2.7203524075467564e-07,2.416608404518661e-07
102.0,1.4247921775761371e-05,1.2475319190848228e-05,2.773565385709961e-07,2.4661064685954285e-07
104.0,1.480795139678372e-05,1.2973494787769014e-05,2.826730824513527e-07,2.51564950061243e-07
106.0,1.537860934756564e-05,1.3481583483493674e-05,2.879848683305693e-07,2.5652374566341675e-07
108.0,1.595988610804339e-05,1.3999594258426114e-05,2.9329189214717815e-07,2.614870292690234e-07
110.0,1.655177215003399e-05,1.452753608417267e-05,2.9859414984342235e-07,2.664547964775337e-07
112.0,1.715425793724267e-05,1.5065417923535136e-05,3.0389163736525835e-07,2.714270428849324e-07
114.0,1.7767333925270286e-05,1.561324873050379e-05,3.0918435066235845e-07,2.764037640837205e-07
116.0,1.8390990561620757e-05,1.6171037450250425e-05,3.144722856881132e-07,2.813849556629179e-07
118.0,1.9025218285708504e-05,1.673879301912141e-05,3.19755438399634e-07,2.8637061320806585e-07
120.0,1.9670007528865894e-05,1.7316524364630704e-05,3.250338047577555e-07,2.9136073230122905e-07
122.0,2.032534871435069e-05,1.790424040545293e-05,3.3030738072703815e-07,2.9635530852099844e-07
124.0,2.09912322573535e-05,1.850195005141642e-05,3.3557616227577073e-07,3.0135433744249344e-07
126.0,2.1667648565005244e-05,1.9109662203496278e-05,3.4084014537597275e-07,3.063578146373645e-07
128.0,2.2354588036384614e-05,1.9727385753807436e-05,3.4609932600339687e-07,3.113657356737955e-07
130.0,2.305204106252554e-05,2.035512958559774e-05,3.513537001375316e-07,3.1637809611650605e-07
132.0,2.3759998026424674e-05,2.0992902573241e-05,3.566032637616036e-07,3.2139489152675423e-07
134.0,2.447844930304886e-05,2.1640713582230095e-05,3.6184801286258036e-07,3.264161174623388e-07
136.0,2.520738525934261e-05,2.2298571469170036e-05,3.6708794343117237e-07,3.314417694776016e-07
138.0,2.594679625423562e-05,2.2966485081771067e-05,3.7232305146183597e-07,3.3647184312343023e-07
140.0,2.6696672638650233e-05,2.364446325884176e-05,3.7755333295277554e-07,3.4150633394726027e-07
142.0,2.7457004755508956e-05,2.4332514830282098e-05,3.827787839059463e-07,3.465452374930778e-07
144.0,2.822778293974196e-05,2.5030648617076596e-05,3.879994003270564e-07,3.515885493014219e-07
146.0,2.9008997518294586e-05,2.5738873431287406e-05,3.932151782255698e-07,3.566362649093869e-07
148.0,2.9800638810134865e-05,2.6457198076047417e-05,3.9842611361470847e-07,3.6168837985062516e-07
150.0,3.060269712626103e-05,2.718563134555339e-05,4.036322025114551e-07,3.6674488965534925e-07
152.0,3.1415162769709044e-05,2.7924182025059073e-05,4.0883344093655525e-07,3.718057898503344e-07
154.0,3.223802603556012e-05,2.867285889086833e-05,4.1402982491452036e-07,3.7687107595892107e-07
156.0,3.307127721094827e-05,2.9431670710328266e-05,4.1922135047362974e-07,3.819407435010174e-07
158.0,3.391490657506783e-05,3.0200626241822385e-05,4.2440801364593326e-07,3.8701478799310147e-07
160.0,3.4768904399181017e-05,3.097973423476371e-05,4.295898104672539e-07,3.9209320494822404e-07
162.0,3.563326094662546e-05,3.176900342958795e-05,4.3476673697719013e-07,3.9717598987601076e-07
